interval,sinr_dB,cqi,mcs,throughput_Mbps
0,9.7684,8,13,32.9225
1,8.3013,8,13,32.9225
2,19.2371,13,24,77.8025
3,3.9601,5,6,15.0844
4,15.5204,11,20,57.1436
5,20.0147,14,26,87.9814
6,9.2330,8,13,32.9225
7,18.3468,13,24,77.8025
8,6.0465,7,11,25.3975
9,2.1637,5,6,15.0844
10,12.6551,10,18,46.9646
11,12.7856,10,18,46.9646
12,8.0099,8,13,32.9225
13,5.4486,6,8,20.2238
14,10.3114,9,15,41.3884
15,12.4762,10,18,46.9646
16,9.6564,8,13,32.9225
17,8.6871,8,13,32.9225
18,7.1570,7,11,25.3975
19,13.5783,10,18,46.9646
20,9.7324,8,13,32.9225
21,8.6187,8,13,32.9225
22,11.2069,9,15,41.3884
23,15.6933,11,20,57.1436
24,11.4259,9,15,41.3884
25,8.5769,8,13,32.9225
26,1.8973,4,4,10.3475
27,9.7418,8,13,32.9225
28,11.3350,9,15,41.3884
29,3.9609,5,6,15.0844
30,10.8294,9,15,41.3884
31,11.7356,9,15,41.3884
32,7.7559,7,11,25.3975
33,9.5168,8,13,32.9225
34,6.5767,7,11,25.3975
35,8.6527,8,13,32.9225
36,13.0607,10,18,46.9646
37,15.2712,11,20,57.1436
38,8.8233,8,13,32.9225
39,2.4946,5,6,15.0844
40,5.5013,6,8,20.2238
41,5.1589,6,8,20.2238
42,9.1662,8,13,32.9225
43,8.3530,8,13,32.9225
44,6.8438,7,11,25.3975
45,8.7585,8,13,32.9225
46,6.2275,7,11,25.3975
47,9.6470,8,13,32.9225
48,3.5564,5,6,15.0844
49,6.1804,7,11,25.3975
50,5.8215,6,8,20.2238
51,12.6580,10,18,46.9646
52,7.1353,7,11,25.3975
53,6.5546,7,11,25.3975
54,0.7443,4,4,10.3475
55,10.8492,9,15,41.3884
56,13.0280,10,18,46.9646
57,6.0583,7,11,25.3975
58,6.6061,7,11,25.3975
59,6.2099,7,11,25.3975
60,8.3469,8,13,32.9225
61,13.4630,10,18,46.9646
62,12.9784,10,18,46.9646
63,12.7089,10,18,46.9646
64,8.7701,8,13,32.9225
65,7.9037,7,11,25.3975
66,6.2391,7,11,25.3975
67,12.6115,10,18,46.9646
68,11.4072,9,15,41.3884
69,13.0379,10,18,46.9646
70,11.7285,9,15,41.3884
71,8.9313,8,13,32.9225
72,3.4885,5,6,15.0844
73,8.8365,8,13,32.9225
74,6.7461,7,11,25.3975
75,6.7753,7,11,25.3975
76,10.9349,9,15,41.3884
77,12.7594,10,18,46.9646
78,13.1056,10,18,46.9646
79,7.5472,7,11,25.3975
80,17.3706,12,22,67.1196
81,14.6092,11,20,57.1436
82,10.9598,9,15,41.3884
83,18.5813,13,24,77.8025
84,6.2673,7,11,25.3975
85,11.4280,9,15,41.3884
86,9.8574,8,13,32.9225
87,14.9365,11,20,57.1436
88,12.0959,10,18,46.9646
89,5.8948,6,8,20.2238
90,13.4421,10,18,46.9646
91,11.5763,9,15,41.3884
92,6.3884,7,11,25.3975
93,12.7628,10,18,46.9646
94,12.7178,10,18,46.9646
95,7.2023,7,11,25.3975
96,4.3761,6,8,20.2238
97,6.4125,7,11,25.3975
98,3.9652,5,6,15.0844
99,12.3831,10,18,46.9646
100,16.9846,12,22,67.1196
101,11.4075,9,15,41.3884
102,9.0805,8,13,32.9225
103,6.6742,7,11,25.3975
104,13.0687,10,18,46.9646
105,14.1170,11,20,57.1436
106,13.1026,10,18,46.9646
107,12.9860,10,18,46.9646
108,6.5857,7,11,25.3975
109,11.1749,9,15,41.3884
110,5.7707,6,8,20.2238
111,8.0488,8,13,32.9225
112,13.2333,10,18,46.9646
113,5.1286,6,8,20.2238
114,12.2511,10,18,46.9646
115,13.8371,10,18,46.9646
116,4.8014,6,8,20.2238
117,6.8277,7,11,25.3975
118,11.5700,9,15,41.3884
119,14.1434,11,20,57.1436
120,11.3982,9,15,41.3884
121,9.6018,8,13,32.9225
122,9.5951,8,13,32.9225
123,9.4940,8,13,32.9225
124,6.2667,7,11,25.3975
125,12.1452,10,18,46.9646
126,8.7335,8,13,32.9225
127,21.6182,14,26,87.9814
128,9.3444,8,13,32.9225
129,10.8841,9,15,41.3884
130,7.2389,7,11,25.3975
131,10.4222,9,15,41.3884
132,9.9295,8,13,32.9225
133,6.6064,7,11,25.3975
134,6.8880,7,11,25.3975
135,10.3273,9,15,41.3884
136,10.6967,9,15,41.3884
137,12.7316,10,18,46.9646
138,8.1718,8,13,32.9225
139,5.1276,6,8,20.2238
140,12.0281,10,18,46.9646
141,9.4021,8,13,32.9225
142,13.1451,10,18,46.9646
143,11.2312,9,15,41.3884
144,6.2645,7,11,25.3975
145,16.7936,12,22,67.1196
146,13.9920,10,18,46.9646
147,9.0489,8,13,32.9225
148,12.1645,10,18,46.9646
149,12.8746,10,18,46.9646
150,9.4801,8,13,32.9225
151,7.5011,7,11,25.3975
152,14.4878,11,20,57.1436
153,-0.1299,3,2,6.4844
154,10.0549,9,15,41.3884
155,9.7876,8,13,32.9225
156,7.8187,7,11,25.3975
157,5.0653,6,8,20.2238
158,13.4990,10,18,46.9646
159,10.6329,9,15,41.3884
160,14.5962,11,20,57.1436
161,3.8493,5,6,15.0844
162,6.9134,7,11,25.3975
163,8.1671,8,13,32.9225
164,5.0113,6,8,20.2238
165,14.1919,11,20,57.1436
166,9.6456,8,13,32.9225
167,17.1389,12,22,67.1196
168,10.9100,9,15,41.3884
169,9.6243,8,13,32.9225
170,7.3574,7,11,25.3975
171,13.8030,10,18,46.9646
172,6.8490,7,11,25.3975
173,10.7428,9,15,41.3884
174,15.1606,11,20,57.1436
175,10.7666,9,15,41.3884
176,13.2760,10,18,46.9646
177,13.5047,10,18,46.9646
178,12.8377,10,18,46.9646
179,13.2897,10,18,46.9646
180,9.6817,8,13,32.9225
181,7.8200,7,11,25.3975
182,14.0061,11,20,57.1436
183,10.9572,9,15,41.3884
184,7.9690,7,11,25.3975
185,10.4034,9,15,41.3884
186,11.2816,9,15,41.3884
187,8.2153,8,13,32.9225
188,7.5465,7,11,25.3975
189,15.1036,11,20,57.1436
190,10.9138,9,15,41.3884
191,12.1406,10,18,46.9646
192,13.1302,10,18,46.9646
193,9.1300,8,13,32.9225
194,11.0429,9,15,41.3884
195,13.5451,10,18,46.9646
196,9.6293,8,13,32.9225
197,10.9150,9,15,41.3884
198,4.1512,6,8,20.2238
199,8.2991,8,13,32.9225
200,15.6167,11,20,57.1436
201,7.7140,7,11,25.3975
202,9.0163,8,13,32.9225
203,7.6985,7,11,25.3975
204,11.0236,9,15,41.3884
205,15.8863,11,20,57.1436
206,13.4985,10,18,46.9646
207,5.7527,6,8,20.2238
208,10.7941,9,15,41.3884
209,9.4362,8,13,32.9225
210,11.9957,9,15,41.3884
211,7.6934,7,11,25.3975
212,13.0845,10,18,46.9646
213,15.0142,11,20,57.1436
214,11.6185,9,15,41.3884
215,8.6758,8,13,32.9225
216,14.2652,11,20,57.1436
217,9.6151,8,13,32.9225
218,9.2636,8,13,32.9225
219,14.1150,11,20,57.1436
220,4.8597,6,8,20.2238
221,2.2449,5,6,15.0844
222,12.0719,10,18,46.9646
223,10.1632,9,15,41.3884
224,8.6225,8,13,32.9225
225,10.5934,9,15,41.3884
226,10.3310,9,15,41.3884
227,10.4384,9,15,41.3884
228,14.9073,11,20,57.1436
229,17.0267,12,22,67.1196
230,8.7161,8,13,32.9225
231,8.7051,8,13,32.9225
232,12.1873,10,18,46.9646
233,6.5578,7,11,25.3975
234,18.1157,13,24,77.8025
235,10.1584,9,15,41.3884
236,5.9618,6,8,20.2238
237,3.6407,5,6,15.0844
238,1.3668,4,4,10.3475
239,10.8335,9,15,41.3884
240,10.8140,9,15,41.3884
241,6.6925,7,11,25.3975
242,14.1635,11,20,57.1436
243,14.2002,11,20,57.1436
244,16.5071,12,22,67.1196
245,10.0619,9,15,41.3884
246,13.4575,10,18,46.9646
247,8.8167,8,13,32.9225
248,7.2562,7,11,25.3975
249,14.0476,11,20,57.1436
250,5.2418,6,8,20.2238
251,6.0572,7,11,25.3975
252,5.6317,6,8,20.2238
253,14.2851,11,20,57.1436
254,5.2845,6,8,20.2238
255,17.7158,12,22,67.1196
256,10.4180,9,15,41.3884
257,9.5955,8,13,32.9225
258,6.4374,7,11,25.3975
259,8.5623,8,13,32.9225
260,10.3631,9,15,41.3884
261,8.8629,8,13,32.9225
262,8.3382,8,13,32.9225
263,12.0524,10,18,46.9646
264,9.3955,8,13,32.9225
265,4.4263,6,8,20.2238
266,17.1615,12,22,67.1196
267,14.8482,11,20,57.1436
268,11.3095,9,15,41.3884
269,9.6411,8,13,32.9225
270,7.2579,7,11,25.3975
271,13.2163,10,18,46.9646
272,18.1199,13,24,77.8025
273,16.1713,12,22,67.1196
274,4.0033,6,8,20.2238
275,8.9492,8,13,32.9225
276,7.2829,7,11,25.3975
277,-2.3316,2,0,4.0317
278,8.4931,8,13,32.9225
279,13.1249,10,18,46.9646
280,3.3876,5,6,15.0844
281,12.0731,10,18,46.9646
282,10.3775,9,15,41.3884
283,10.6972,9,15,41.3884
284,5.9133,6,8,20.2238
285,6.5226,7,11,25.3975
286,10.2622,9,15,41.3884
287,2.5397,5,6,15.0844
288,10.0945,9,15,41.3884
289,9.8903,8,13,32.9225
290,7.9292,7,11,25.3975
291,6.7576,7,11,25.3975
292,19.3605,13,24,77.8025
293,-3.4221,2,0,4.0317
294,3.0784,5,6,15.0844
295,13.4469,10,18,46.9646
296,5.1701,6,8,20.2238
297,12.4614,10,18,46.9646
298,3.8517,5,6,15.0844
299,4.8161,6,8,20.2238
300,11.5036,9,15,41.3884
301,6.3140,7,11,25.3975
302,11.1258,9,15,41.3884
303,11.7068,9,15,41.3884
304,12.7556,10,18,46.9646
305,11.2872,9,15,41.3884
306,11.9313,9,15,41.3884
307,11.0962,9,15,41.3884
308,11.5164,9,15,41.3884
309,18.9365,13,24,77.8025
310,8.1497,8,13,32.9225
311,10.9657,9,15,41.3884
312,3.5881,5,6,15.0844
313,9.3415,8,13,32.9225
314,6.0057,7,11,25.3975
315,11.4918,9,15,41.3884
316,6.2494,7,11,25.3975
317,14.4635,11,20,57.1436
318,6.9058,7,11,25.3975
319,17.2198,12,22,67.1196
320,2.9945,5,6,15.0844
321,13.4308,10,18,46.9646
322,7.8919,7,11,25.3975
323,13.9224,10,18,46.9646
324,7.8362,7,11,25.3975
325,8.5772,8,13,32.9225
326,12.0070,10,18,46.9646
327,9.3060,8,13,32.9225
328,10.7475,9,15,41.3884
329,6.5404,7,11,25.3975
330,12.4480,10,18,46.9646
331,12.7019,10,18,46.9646
332,9.2944,8,13,32.9225
333,11.6421,9,15,41.3884
334,6.0010,7,11,25.3975
335,12.0941,10,18,46.9646
336,7.9726,7,11,25.3975
337,9.6899,8,13,32.9225
338,9.0445,8,13,32.9225
339,9.2356,8,13,32.9225
340,5.7714,6,8,20.2238
341,4.7837,6,8,20.2238
342,10.7426,9,15,41.3884
343,7.5236,7,11,25.3975
344,6.9974,7,11,25.3975
345,16.1368,12,22,67.1196
346,4.3413,6,8,20.2238
347,13.8441,10,18,46.9646
348,2.3409,5,6,15.0844
349,8.4474,8,13,32.9225
350,11.4424,9,15,41.3884
351,13.1674,10,18,46.9646
352,9.1911,8,13,32.9225
